UBIGEO_HECHO,DPTO_HECHO_NEW,PROV_HECHO,DIST_HECHO,COMISARIA,COD_CPNP_LOCAL,LAT,LONG,DEPTO_COMISARIA,PROV_COMISARIA,DIST_COMISARIA,ES_PRINCIPAL,SECTORES
150730,REGION LIMA,HUAROCHIRI,SANTIAGO DE TUNA,CPNP SAN DAMIAN,2494,-12.0171162,-76.39168042,REGION LIMA,HUAROCHIRI,SANTIAGO DE TUNA,True,2
150732,REGION LIMA,HUAROCHIRI,SURCO,CPNP MATUCANA,2485,-11.84373982,-76.3858292,REGION LIMA,HUAROCHIRI,SURCO,True,4
150804,REGION LIMA,HUAURA,CHECRAS,CPNP CHURIN,2390,-10.81120809,-76.8749929,REGION LIMA,HUAURA,CHECRAS,True,7
151015,REGION LIMA,YAUYOS,HUANGASCAR,CPNP HUANGASCAR,2466,-12.89952071,-75.83241637,LIMA,YAUYOS,HUANGASCAR,True,5
220205,SAN MARTIN,BELLAVISTA,SAN PABLO,CPNP SAN PABLO,1395,-6.81261968,-76.57677851,SAN MARTIN,BELLAVISTA,SAN PABLO,True,3
220404,SAN MARTIN,HUALLAGA,PISCOYACU,CPNP SAPOSOA,1374,-6.93626814,-76.77148808,SAN MARTIN,HUALLAGA,PISCOYACU,True,4
220405,SAN MARTIN,HUALLAGA,SACANCHE,CPNP SACANCHE,1377,-7.07004351,-76.71357916,SAN MARTIN,HUALLAGA,SACANCHE,True,3
220501,SAN MARTIN,LAMAS,LAMAS,CPNP LAMAS,1311,-6.42224305,-76.51732191,SAN MARTIN,LAMAS,LAMAS,True,5
220605,SAN MARTIN,MARISCAL CACERES,PAJARILLO,CPNP MAYOR PNP JAIME ERNESTO COBIAN VASQUEZ,1371,-7.17983529,-76.72650323,SAN MARTIN,MARISCAL CACERES,PAJARILLO,True,4
220104,SAN MARTIN,MOYOBAMBA,JEPELACIO,CPNP JEPELACIO,1344,-6.10809122,-76.91530741,SAN MARTIN,MOYOBAMBA,JEPELACIO,True,3
220104,SAN MARTIN,MOYOBAMBA,JEPELACIO,CPNP NUEVO SAN MIGUEL,1367,-6.212735,-76.915293,SAN MARTIN,MOYOBAMBA,JEPELACIO,False,3
220803,SAN MARTIN,RIOJA,ELIAS SOPLIN VARGAS,CPNP SEGUNDA JERUSALEN,1366,-5.98817051,-77.27755021,SAN MARTIN,RIOJA,ELIAS SOPLIN VARGAS,True,3
220807,SAN MARTIN,RIOJA,SAN FERNANDO,CPNP YURACYACU,1365,-5.92817219,-77.2272368,SAN MARTIN,RIOJA,SAN FERNANDO,True,2
221003,SAN MARTIN,TOCACHE,POLVORA,CPNP NUEVO SAN MARTIN,7003,-7.78148,-76.67071,SAN MARTIN,TOCACHE,POLVORA,False,3
221003,SAN MARTIN,TOCACHE,POLVORA,CPNP PUERTO PIZANA,7012,-8.009047,-76.650326,SAN MARTIN,TOCACHE,POLVORA,True,3
230103,TACNA,TACNA,CALANA,CPNP CALANA,4312,-17.94070748,-70.18667432,TACNA,TACNA,CALANA,True,3
230403,TACNA,TARATA,ESTIQUE,CPNP ESTIQUE PAMPA,4340,-17.54074408,-70.03033879,TACNA,TARATA,ESTIQUE,True,3
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,CPNP QUINJALCA,1422,-6.09149759,-77.67858731,AMAZONAS,CHACHAPOYAS,ASUNCION,True,3
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,CPNP CONDORCANQUI,1529,-4.5922403,-77.86418229,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,True,3
010505,AMAZONAS,LUYA,CONILA,CPNP COLLONCE,1452,-6.28043063,-78.21497393,AMAZONAS,LUYA,CONILA,True,3
010516,AMAZONAS,LUYA,SAN CRISTOBAL,CPNP LAMUD,1440,-6.13924963,-77.95217841,AMAZONAS,LUYA,SAN CRISTOBAL,True,6
010520,AMAZONAS,LUYA,SANTA CATALINA,CPNP LAMUD,1440,-6.13924963,-77.95217841,AMAZONAS,LUYA,SANTA CATALINA,True,6
010603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,CPNP LONGAR,1481,-6.38549182,-77.54599145,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,True,3
020509,ANCASH,BOLOGNESI,HUASTA,CPNP BOLOGNESI CHIQUIAN,4815,-10.15478576,-77.15741416,ANCASH,BOLOGNESI,HUASTA,True,10
020609,ANCASH,CARHUAZ,SHILLA,CPNP CARHUAZ,4870,-9.28248511,-77.64606581,ANCASH,CARHUAZ,SHILLA,True,7
020106,ANCASH,HUARAZ,JANGAS,CPNP TARICA,4808,-9.39288698,-77.5739404,ANCASH,HUARAZ,JANGAS,True,3
021104,ANCASH,HUARMEY,HUAYAN,CPNP AIJA,4845,-9.78325764,-77.60940487,ANCASH,HUARMEY,HUAYAN,True,5
021206,ANCASH,HUAYLAS,PAMPAROMAS,CPNP PAMPAROMAS,4912,-9.07304774,-77.98176549,ANCASH,HUAYLAS,PAMPAROMAS,True,3
021505,ANCASH,PALLASCA,HUANDOVAL,CPNP CABANA,4935,-8.392918,-78.008577,ANCASH,PALLASCA,HUANDOVAL,True,4
021702,ANCASH,RECUAY,CATAC,CPNP CATAC,4835,-9.79810892,-77.43246069,ANCASH,RECUAY,CATAC,True,3
022005,ANCASH,YUNGAY,QUILLO,CPNP QUILLO,4928,-9.32881929,-78.04205217,ANCASH,YUNGAY,QUILLO,True,4
030208,APURIMAC,ANDAHUAYLAS,PACOBAMBA,CPNP HUANCARAMA,5485,-13.64551483,-73.08410603,APURIMAC,ANDAHUAYLAS,PACOBAMBA,True,4
030212,APURIMAC,ANDAHUAYLAS,SAN ANTONIO DE CACHI,CPNP SAN ANTONIO DE CACHI,5492,-13.77271562,-73.60266085,APURIMAC,ANDAHUAYLAS,SAN ANTONIO DE CACHI,True,3
030301,APURIMAC,ANTABAMBA,ANTABAMBA,CPNP ANTABAMBA,5456,-14.36750001,-72.87280001,APURIMAC,ANTABAMBA,ANTABAMBA,True,4
030607,APURIMAC,CHINCHEROS,URANMARCA,CPNP URANMARCA,5506,-13.67208309,-73.66937125,APURIMAC,CHINCHEROS,URANMARCA,True,3
030701,APURIMAC,GRAU,CHUQUIBAMBILLA,CPNP GRAU,7850,-14.10328455,-72.70692152,APURIMAC,GRAU,CHUQUIBAMBILLA,True,4
030702,APURIMAC,GRAU,CURPAHUASI,CPNP VILCABAMBA,5434,-14.07839621,-72.62500789,APURIMAC,GRAU,CURPAHUASI,True,4
030703,APURIMAC,GRAU,GAMARRA,CPNP PALPACACHI,5438,-13.87203056,-72.50856561,APURIMAC,GRAU,GAMARRA,True,2
040310,AREQUIPA,CARAVELI,JAQUI,CPNP JAQUI,4206,-15.4785065,-74.44317687,AREQUIPA,CARAVELI,JAQUI,True,4
040602,AREQUIPA,CONDESUYOS,ANDARAY,CPNP ANDARAY,4222,-15.79727012,-72.86014663,AREQUIPA,CONDESUYOS,ANDARAY,True,3
050107,AYACUCHO,HUAMANGA,PACAYCASA,CPNP CHACCO,3362,-13.098302,-74.206797,AYACUCHO,HUAMANGA,PACAYCASA,True,4
050505,AYACUCHO,LA MAR,CHUNGUI,CPNP CHUNGUI,7533,-13.22167416,-73.62179779,AYACUCHO,LA MAR,CHUNGUI,True,3
050619,AYACUCHO,LUCANAS,SANCOS,CPNP PARINACOCHAS,3465,-15.01692809,-73.7818462,AYACUCHO,LUCANAS,SANCOS,True,3
050903,AYACUCHO,SUCRE,CHALCOS,CPNP CARHUANCA,3405,-13.74237566,-73.78711592,AYACUCHO,SUCRE,CHALCOS,True,2
060803,CAJAMARCA,JAEN,CHONTALI,CPNP CHONTALI,1072,-5.64454529,-79.08725021,CAJAMARCA,JAEN,CHONTALI,True,2
060804,CAJAMARCA,JAEN,COLASAY,CPNP COLASAY,1075,-5.97900417,-79.06866227,CAJAMARCA,JAEN,COLASAY,True,2
060905,CAJAMARCA,SAN IGNACIO,NAMBALLE,CPNP NAMBALLE,1060,-5.00458129,-79.08772445,CAJAMARCA,SAN IGNACIO,NAMBALLE,True,3
061112,CAJAMARCA,SAN MIGUEL,TONGOD,CPNP TONGOD,5094,-6.75629553,-78.82476434,CAJAMARCA,SAN MIGUEL,TONGOD,True,4
061202,CAJAMARCA,SAN PABLO,SAN BERNARDINO,CPNP SAN PABLO,5080,-7.11750483,-78.82433831,CAJAMARCA,SAN PABLO,SAN BERNARDINO,True,5
061304,CAJAMARCA,SANTA CRUZ,CHANCAYBAÑOS,CPNP CHANCAY BAÑOS,1002,-6.57495206,-78.86817217,CAJAMARCA,SANTA CRUZ,CHANCAYBAÑOS,True,2
061305,CAJAMARCA,SANTA CRUZ,LA ESPERANZA,CPNP CHANCAY BAÑOS,1002,-6.57495206,-78.86817217,CAJAMARCA,SANTA CRUZ,LA ESPERANZA,True,2
061307,CAJAMARCA,SANTA CRUZ,PULAN,CPNP PULAN,1003,-6.7392826,-78.92054534,CAJAMARCA,SANTA CRUZ,PULAN,True,2
080205,CUSCO,ACOMAYO,POMACANCHI,CPNP POMACANCHI,3622,-14.03443684,-71.57052248,CUSCO,ACOMAYO,POMACANCHI,True,2
080206,CUSCO,ACOMAYO,RONDOCAN,CPNP PARURO,3655,-13.76068306,-71.84950548,CUSCO,ACOMAYO,RONDOCAN,True,3
080305,CUSCO,ANTA,HUAROCONDO,CPNP HUAROCONDO,3548,-13.41651708,-72.20524947,CUSCO,ANTA,HUAROCONDO,True,3
080607,CUSCO,CANCHIS,SAN PEDRO,CPNP TINTA,3608,-14.14298482,-71.40253201,CUSCO,CANCHIS,SAN PEDRO,True,2
080708,CUSCO,CHUMBIVILCAS,VELILLE,CPNP VELILLE,3648,-14.50991388,-71.88380252,CUSCO,CHUMBIVILCAS,VELILLE,True,2
080803,CUSCO,ESPINAR,COPORAQUE,CPNP ESPINAR,3650,-14.79273584,-71.41365583,CUSCO,ESPINAR,COPORAQUE,True,8
080902,CUSCO,LA CONVENCION,ECHARATE,CPNP ECHARATE,7570,-12.76766453,-72.57769459,CUSCO,LA CONVENCION,ECHARATE,True,3
080902,CUSCO,LA CONVENCION,ECHARATE,CPNP KITENI,7572,-12.64786695,-73.04719035,CUSCO,LA CONVENCION,ECHARATE,False,2
080902,CUSCO,LA CONVENCION,ECHARATE,CPNP PALMA REAL,7574,-12.62741959,-72.69216776,CUSCO,LA CONVENCION,ECHARATE,False,3
080908,CUSCO,LA CONVENCION,SANTA TERESA,CPNP SANTA TERESA,7558,-13.13044465,-72.59439284,CUSCO,LA CONVENCION,SANTA TERESA,True,3
081003,CUSCO,PARURO,CCAPI,CPNP CCAPI,3659,-13.85689142,-72.07737686,CUSCO,PARURO,CCAPI,True,3
081103,CUSCO,PAUCARTAMBO,CHALLABAMBA,CPNP PAUCARTAMBO,3580,-13.31798141,-71.59763078,CUSCO,PAUCARTAMBO,CHALLABAMBA,True,3
081208,CUSCO,QUISPICANCHI,LUCRE,CPNP LUCRE,3564,-13.63396497,-71.73654769,CUSCO,QUISPICANCHI,LUCRE,True,3
081208,CUSCO,QUISPICANCHI,LUCRE,CPNP HUAMBUTIO,3566,-13.58193127,-71.71378659,CUSCO,QUISPICANCHI,LUCRE,False,2
081209,CUSCO,QUISPICANCHI,MARCAPATA,CPNP MARCAPATA,3572,-13.59191106,-70.97489651,CUSCO,QUISPICANCHI,MARCAPATA,True,2
090102,HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,CPNP ACOBAMBILLA,3222,-12.66462107,-75.32261254,HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,True,3
090103,HUANCAVELICA,HUANCAVELICA,ACORIA,CPNP ACORIA,3214,-12.64264689,-74.86299704,HUANCAVELICA,HUANCAVELICA,ACORIA,True,2
090106,HUANCAVELICA,HUANCAVELICA,HUACHOCOLPA,CPNP HUACHOCOLPA,3218,-13.03156297,-74.94707881,HUANCAVELICA,HUANCAVELICA,HUACHOCOLPA,True,2
090110,HUANCAVELICA,HUANCAVELICA,MANTA,CPNP ACOBAMBILLA,3222,-12.66462107,-75.32261254,HUANCAVELICA,HUANCAVELICA,MANTA,True,3
090113,HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO,CPNP HUANDO,3212,-12.56379297,-74.94752734,HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO,True,3
090701,HUANCAVELICA,TAYACAJA,PAMPAS,CPNP PAMPAS,7530,-12.39786165,-74.86902653,HUANCAVELICA,TAYACAJA,PAMPAS,True,7
100202,HUANUCO,AMBO,CAYNA,CPNP CAYNA,5942,-10.27181154,-76.38899441,HUANUCO,AMBO,CAYNA,True,2
